Query	DB_hit	%id	length	Mismatches	Gaps	qstart	qend	sstart	ssend	evalue	bitscore
RS_Test_Set1_k35__NODE_10048_length_671_cov_94.7374	Database01g095120.2.1	58.470	183	58	5	15	195	9	175	2.44e-61	198
RS_Test_Set1_k35__NODE_100490_length_173_cov_29.1304	Database07g064410.1.1	52.941	17	8	0	3	19	233	249	1.7	25.0
RS_Test_Set1_k35__NODE_1004_length_1604_cov_155.048	Database12g049230.1.1	67.171	463	126	10	13	467	345	789	0.0	603
RS_Test_Set1_k35__NODE_10050_length_671_cov_139.049	Database01g094000.2.1	30.682	88	57	3	79	165	40	124	0.001	38.9
RS_Test_Set1_k35__NODE_10051_length_671_cov_623.373	Database06g084540.2.1	75.159	157	37	1	4	160	2	156	9.80e-87	250
RS_Test_Set1_k35__NODE_10053_length_671_cov_49.1478	Database10g018140.1.1	49.306	144	37	4	1	109	103	245	5.04e-34	119
RS_Test_Set1_k35__NODE_10054_length_671_cov_45.4072	Database08g006520.1.1	32.653	98	57	5	9	101	29	122	0.014	33.1
RS_Test_Set1_k35__NODE_10055_length_671_cov_25.6352	Database02g087880.2.1	93.478	184	11	1	1	184	268	450	2.12e-125	360
RS_Test_Set1_k35__NODE_10056_length_671_cov_73.8255	Database03g115140.2.1	74.222	225	54	1	1	221	130	354	1.79e-101	306
RS_Test_Set1_k35__NODE_100607_length_173_cov_16.942	Database01g107940.2.1	61.538	13	5	0	36	48	162	174	7.6	23.5
RS_Test_Set1_k35__NODE_10060_length_670_cov_16.0016	Database09g064430.2.1	44.444	27	12	1	52	75	174	200	2.2	28.1
RS_Test_Set1_k35__NODE_10063_length_670_cov_115.98	Database07g064850.2.1	68.182	176	54	1	1	176	287	460	1.97e-85	258
RS_Test_Set1_k35__NODE_10064_length_670_cov_56.9638	Database08g079550.1.1	88.444	225	24	1	1	223	569	793	1.08e-145	426
RS_Test_Set1_k35__NODE_100651_length_173_cov_9.02174	Database04g082280.2.1	41.935	31	18	0	17	47	130	160	1.3	25.4
RS_Test_Set1_k35__NODE_10065_length_670_cov_71.7307	Database08g068340.2.1	87.421	159	19	1	1	159	1	158	5.70e-103	304
RS_Test_Set1_k35__NODE_10066_length_670_cov_7.15591	Database02g082160.1.1	42.857	28	12	1	90	117	516	539	9.9	27.3
RS_Test_Set1_k35__NODE_10069_length_670_cov_14.0299	Database08g077050.2.1	38.298	47	26	1	60	103	128	174	1.4	28.1
RS_Test_Set1_k35__NODE_1006_length_1604_cov_146.248	Database02g063320.2.1	74.176	364	91	3	26	388	12	373	0.0	510
RS_Test_Set1_k35__NODE_100701_length_173_cov_13.2754	Database01g008500.2.1	31.818	44	30	0	2	45	355	398	0.19	27.7
RS_Test_Set1_k35__NODE_10070_length_670_cov_170.006	Database09g014780.2.1	80.500	200	39	0	1	200	1087	1286	2.24e-109	341
RS_Test_Set1_k35__NODE_10071_length_670_cov_18.9843	Database10g055670.1.1	32.353	68	38	2	85	146	264	329	0.97	30.4
RS_Test_Set1_k35__NODE_10072_length_670_cov_124.038	Database08g083380.2.1	79.518	83	17	0	44	126	3	85	7.70e-36	118
RS_Test_Set1_k35__NODE_100734_length_173_cov_7.45652	Database12g036300.1.1	64.286	14	5	0	6	19	4	17	3.7	24.3
RS_Test_Set1_k35__NODE_100747_length_173_cov_6.98551	Database05g055910.2.1	83.333	12	2	0	35	46	29	40	1.8	25.4
RS_Test_Set1_k35__NODE_10074_length_670_cov_7.10079	Database04g050930.2.1	23.188	69	51	1	9	77	47	113	6.0	26.9
RS_Test_Set1_k35__NODE_10075_length_670_cov_26.1543	Database04g007870.2.1	57.436	195	63	6	1	190	650	829	4.57e-57	193
RS_Test_Set1_k35__NODE_10077_length_670_cov_12.9606	Database04g009580.2.1	38.710	155	79	4	14	157	115	264	5.62e-24	95.1
RS_Test_Set1_k35__NODE_10078_length_670_cov_41.9213	Database08g006450.1.1	36.170	47	29	1	16	62	3	48	0.84	29.3
RS_Test_Set1_k35__NODE_1007_length_1604_cov_194.892	Database05g053830.2.1	80.235	511	97	4	1	509	1	509	0.0	837
RS_Test_Set1_k35__NODE_10081_length_670_cov_59.1921	Database01g111250.2.1	83.146	178	30	0	1	178	137	314	9.23e-113	324
RS_Test_Set1_k35__NODE_10082_length_670_cov_323.575	Database07g049720.2.1	75.401	187	46	0	1	187	695	881	1.78e-97	300
RS_Test_Set1_k35__NODE_10083_length_670_cov_45.3134	Database03g116700.2.1	25.000	40	30	0	25	64	8	47	5.7	26.9
RS_Test_Set1_k35__NODE_10085_length_670_cov_171.48	Database07g055830.2.1	61.765	204	76	2	11	213	5	207	2.65e-89	265
RS_Test_Set1_k35__NODE_10087_length_670_cov_46.9843	Database05g054230.2.1	81.166	223	42	0	1	223	109	331	7.88e-138	389
RS_Test_Set1_k35__NODE_1008_length_1603_cov_252.233	Database11g069470.1.1	77.670	206	45	1	8	212	636	841	5.27e-115	346
RS_Test_Set1_k35__NODE_10092_length_669_cov_23.918	Database07g007370.2.1	81.905	105	18	1	1	104	1	105	5.74e-50	166
RS_Test_Set1_k35__NODE_10093_length_669_cov_54.6057	Database06g068320.2.1	92.517	147	11	0	20	166	21	167	2.93e-98	292
RS_Test_Set1_k35__NODE_10094_length_669_cov_45.418	Database04g082570.2.1	89.116	147	16	0	36	182	626	772	1.98e-89	277
RS_Test_Set1_k35__NODE_10095_length_669_cov_49.2839	Database09g064450.2.1	73.711	194	50	1	8	200	178	371	1.73e-105	308
RS_Test_Set1_k35__NODE_10096_length_669_cov_12.9038	Database08g048320.1.1	37.143	35	20	1	44	78	1	33	1.3	26.9
RS_Test_Set1_k35__NODE_10098_length_669_cov_837.063	Database12g019570.1.1	30.208	96	48	4	33	118	182	268	1.1	29.6
RS_Test_Set1_k35__NODE_1009_length_1603_cov_103.801	Database01g097340.2.1	93.590	312	20	0	1	312	65	376	0.0	622
RS_Test_Set1_k35__NODE_10100_length_669_cov_48.3486	Database02g077780.2.1	80.952	105	20	0	1	105	483	587	7.34e-56	182
RS_Test_Set1_k35__NODE_10101_length_669_cov_13.1372	Database05g018870.1.1	42.857	28	16	0	49	76	61	88	1.8	29.3
RS_Test_Set1_k35__NODE_101062_length_173_cov_13.8696	Database02g088510.2.1	50.000	20	10	0	3	22	188	207	4.1	24.3
RS_Test_Set1_k35__NODE_10106_length_669_cov_177.666	Database04g056630.2.1	67.857	224	66	2	1	223	114	332	2.56e-105	310
RS_Test_Set1_k35__NODE_10107_length_669_cov_44.3454	Database08g082480.2.1	28.947	76	51	1	49	124	373	445	0.24	32.3
RS_Test_Set1_k35__NODE_10108_length_669_cov_95.0899	Database07g005880.2.1	60.287	209	58	3	1	205	795	982	1.54e-71	234
RS_Test_Set1_k35__NODE_10109_length_669_cov_127.784	Database02g079060.2.1	81.746	126	21	2	1	125	98	222	2.46e-59	182
RS_Test_Set1_k35__NODE_1010_length_1603_cov_54.4617	Database09g090070.1.1	49.299	428	187	6	1	409	107	523	3.00e-133	394
RS_Test_Set1_k35__NODE_10112_length_669_cov_19.511	Database07g042910.2.1	58.333	24	8	1	51	74	885	906	1.9	29.3
RS_Test_Set1_k35__NODE_10113_length_669_cov_6.96688	Database01g081490.2.1	40.625	32	19	0	35	66	269	300	1.4	28.1
RS_Test_Set1_k35__NODE_101150_length_173_cov_34.2246	Database12g015750.1.1	55.556	18	8	0	32	49	20	37	2.1	25.0
RS_Test_Set1_k35__NODE_10115_length_668_cov_58.5008	Database12g038600.1.1	65.441	136	45	1	4	137	55	190	1.33e-58	179
RS_Test_Set1_k35__NODE_10116_length_668_cov_23.5561	Database07g006070.1.1	54.054	74	32	1	1	72	175	248	1.50e-20	84.7
RS_Test_Set1_k35__NODE_10117_length_668_cov_23.2101	Database07g055280.2.1	45.833	24	13	0	174	197	60	83	3.2	28.5
RS_Test_Set1_k35__NODE_101186_length_173_cov_6.78261	Database05g053210.2.1	43.478	23	12	1	31	53	382	403	1.2	25.8
RS_Test_Set1_k35__NODE_10118_length_668_cov_143.428	Database02g032850.2.1	56.044	182	72	3	41	222	14	187	1.96e-57	190
RS_Test_Set1_k35__NODE_10119_length_668_cov_22.6382	Database03g111280.1.1	25.641	78	54	1	12	89	25	98	0.77	28.9
RS_Test_Set1_k35__NODE_101209_length_173_cov_27.6884	Database01g006670.2.1	27.451	51	32	1	2	47	39	89	5.3	23.9
RS_Test_Set1_k35__NODE_10121_length_668_cov_61.0995	Database07g054430.2.1	78.756	193	40	1	31	222	89	281	4.70e-112	323
RS_Test_Set1_k35__NODE_10124_length_668_cov_12.3507	Database04g080890.2.1	36.667	30	19	0	1	30	291	320	0.28	30.8
RS_Test_Set1_k35__NODE_10126_length_668_cov_17.5577	Database03g112330.2.1	30.000	50	35	0	97	146	64	113	0.54	29.6
RS_Test_Set1_k35__NODE_10129_length_668_cov_137.796	Database06g083510.2.1	51.412	177	81	3	2	174	66	241	4.10e-43	143
RS_Test_Set1_k35__NODE_1012_length_1602_cov_20.79	Database06g068690.2.1	33.000	200	130	2	10	209	121	316	8.00e-30	116
RS_Test_Set1_k35__NODE_101305_length_173_cov_14.1014	Database03g119090.2.1	45.833	24	11	1	33	54	155	178	4.7	24.3
RS_Test_Set1_k35__NODE_101309_length_173_cov_13.9275	Database05g052910.2.1	88.000	25	3	0	1	25	291	315	3.90e-10	52.4
RS_Test_Set1_k35__NODE_101329_length_173_cov_11.1522	Database07g054230.2.1	34.483	29	19	0	9	37	239	267	3.8	24.3
RS_Test_Set1_k35__NODE_10132_length_668_cov_41.9131	Database08g065130.1.1	54.128	109	48	1	15	123	41	147	1.91e-40	139
RS_Test_Set1_k35__NODE_10133_length_668_cov_94.7362	Database03g116550.2.1	77.852	149	33	0	1	149	294	442	1.10e-84	254
RS_Test_Set1_k35__NODE_10135_length_668_cov_77.5292	Database04g007640.2.1	82.870	216	37	0	1	216	415	630	3.92e-118	350
RS_Test_Set1_k35__NODE_10136_length_668_cov_59.1627	Database07g018360.2.1	66.812	229	63	5	1	219	171	396	2.30e-91	288
RS_Test_Set1_k35__NODE_101382_length_173_cov_18.1087	Database01g067400.2.1	32.653	49	31	1	4	52	24	70	3.4	24.6
RS_Test_Set1_k35__NODE_10139_length_668_cov_138.558	Database01g056280.2.1	33.088	136	81	4	1	131	232	362	2.61e-10	57.0
